type,a,b,result,display,tts_vi,level
missing_left,2,3,6,? × 3 = 6,Bao nhiêu nhân 3 bằng 6?,basic
missing_right,2,3,6,2 × ? = 6,2 nhân bao nhiêu bằng 6?,basic
missing_result,2,4,8,2 × 4 = ?,2 nhân 4 bằng bao nhiêu?,basic
missing_left,2,4,8,? × 4 = 8,Bao nhiêu nhân 4 bằng 8?,basic
missing_right,2,4,8,2 × ? = 8,2 nhân bao nhiêu bằng 8?,basic
missing_result,2,5,10,2 × 5 = ?,2 nhân 5 bằng bao nhiêu?,basic
missing_left,2,5,10,? × 5 = 10,Bao nhiêu nhân 5 bằng 10?,basic
missing_right,2,5,10,2 × ? = 10,2 nhân bao nhiêu bằng 10?,basic
missing_result,2,6,12,2 × 6 = ?,2 nhân 6 bằng bao nhiêu?,basic
missing_left,2,6,12,? × 6 = 12,Bao nhiêu nhân 6 bằng 12?,basic
missing_right,2,6,12,2 × ? = 12,2 nhân bao nhiêu bằng 12?,basic
missing_result,2,7,14,2 × 7 = ?,2 nhân 7 bằng bao nhiêu?,basic
missing_left,2,7,14,? × 7 = 14,Bao nhiêu nhân 7 bằng 14?,basic
missing_right,2,7,14,2 × ? = 14,2 nhân bao nhiêu bằng 14?,basic
missing_result,2,8,16,2 × 8 = ?,2 nhân 8 bằng bao nhiêu?,basic
missing_left,2,8,16,? × 8 = 16,Bao nhiêu nhân 8 bằng 16?,basic
missing_right,2,8,16,2 × ? = 16,2 nhân bao nhiêu bằng 16?,basic
missing_result,2,9,18,2 × 9 = ?,2 nhân 9 bằng bao nhiêu?,basic
missing_left,2,9,18,? × 9 = 18,Bao nhiêu nhân 9 bằng 18?,basic
missing_right,2,9,18,2 × ? = 18,2 nhân bao nhiêu bằng 18?,basic
missing_result,3,1,3,3 × 1 = ?,3 nhân 1 bằng bao nhiêu?,basic
missing_left,3,1,3,? × 1 = 3,Bao nhiêu nhân 1 bằng 3?,basic
missing_right,3,1,3,3 × ? = 3,3 nhân bao nhiêu bằng 3?,basic
missing_result,3,2,6,3 × 2 = ?,3 nhân 2 bằng bao nhiêu?,basic
missing_left,3,2,6,? × 2 = 6,Bao nhiêu nhân 2 bằng 6?,basic
missing_right,3,2,6,3 × ? = 6,3 nhân bao nhiêu bằng 6?,basic
missing_result,3,3,9,3 × 3 = ?,3 nhân 3 bằng bao nhiêu?,basic
missing_left,3,3,9,? × 3 = 9,Bao nhiêu nhân 3 bằng 9?,basic
missing_right,3,3,9,3 × ? = 9,3 nhân bao nhiêu bằng 9?,basic
missing_result,3,4,12,3 × 4 = ?,3 nhân 4 bằng bao nhiêu?,basic
missing_left,3,4,12,? × 4 = 12,Bao nhiêu nhân 4 bằng 12?,basic
missing_right,3,4,12,3 × ? = 12,3 nhân bao nhiêu bằng 12?,basic
missing_result,3,5,15,3 × 5 = ?,3 nhân 5 bằng bao nhiêu?,basic
missing_left,3,5,15,? × 5 = 15,Bao nhiêu nhân 5 bằng 15?,basic
missing_right,3,5,15,3 × ? = 15,3 nhân bao nhiêu bằng 15?,basic
missing_result,3,6,18,3 × 6 = ?,3 nhân 6 bằng bao nhiêu?,basic
missing_left,3,6,18,? × 6 = 18,Bao nhiêu nhân 6 bằng 18?,basic
missing_right,3,6,18,3 × ? = 18,3 nhân bao nhiêu bằng 18?,basic
missing_result,3,7,21,3 × 7 = ?,3 nhân 7 bằng bao nhiêu?,basic
missing_left,3,7,21,? × 7 = 21,Bao nhiêu nhân 7 bằng 21?,basic
missing_right,3,7,21,3 × ? = 21,3 nhân bao nhiêu bằng 21?,basic
missing_result,3,8,24,3 × 8 = ?,3 nhân 8 bằng bao nhiêu?,basic
missing_left,3,8,24,? × 8 = 24,Bao nhiêu nhân 8 bằng 24?,basic
missing_right,3,8,24,3 × ? = 24,3 nhân bao nhiêu bằng 24?,basic
missing_result,3,9,27,3 × 9 = ?,3 nhân 9 bằng bao nhiêu?,basic
missing_left,3,9,27,? × 9 = 27,Bao nhiêu nhân 9 bằng 27?,basic
missing_right,3,9,27,3 × ? = 27,3 nhân bao nhiêu bằng 27?,basic
missing_result,4,1,4,4 × 1 = ?,4 nhân 1 bằng bao nhiêu?,basic
missing_left,4,1,4,? × 1 = 4,Bao nhiêu nhân 1 bằng 4?,basic
missing_right,4,1,4,4 × ? = 4,4 nhân bao nhiêu bằng 4?,basic
missing_result,4,2,8,4 × 2 = ?,4 nhân 2 bằng bao nhiêu?,basic
missing_left,4,2,8,? × 2 = 8,Bao nhiêu nhân 2 bằng 8?,basic
missing_right,4,2,8,4 × ? = 8,4 nhân bao nhiêu bằng 8?,basic
missing_result,4,3,12,4 × 3 = ?,4 nhân 3 bằng bao nhiêu?,basic
missing_left,4,3,12,? × 3 = 12,Bao nhiêu nhân 3 bằng 12?,basic
missing_right,4,3,12,4 × ? = 12,4 nhân bao nhiêu bằng 12?,basic
missing_result,4,4,16,4 × 4 = ?,4 nhân 4 bằng bao nhiêu?,basic
missing_left,4,4,16,? × 4 = 16,Bao nhiêu nhân 4 bằng 16?,basic
missing_right,4,4,16,4 × ? = 16,4 nhân bao nhiêu bằng 16?,basic
missing_result,4,5,20,4 × 5 = ?,4 nhân 5 bằng bao nhiêu?,basic
missing_left,4,5,20,? × 5 = 20,Bao nhiêu nhân 5 bằng 20?,basic
missing_right,4,5,20,4 × ? = 20,4 nhân bao nhiêu bằng 20?,basic
missing_result,4,6,24,4 × 6 = ?,4 nhân 6 bằng bao nhiêu?,basic
missing_left,4,6,24,? × 6 = 24,Bao nhiêu nhân 6 bằng 24?,basic
missing_right,4,6,24,4 × ? = 24,4 nhân bao nhiêu bằng 24?,basic
missing_result,4,7,28,4 × 7 = ?,4 nhân 7 bằng bao nhiêu?,basic
missing_left,4,7,28,? × 7 = 28,Bao nhiêu nhân 7 bằng 28?,basic
missing_right,4,7,28,4 × ? = 28,4 nhân bao nhiêu bằng 28?,basic
missing_result,4,8,32,4 × 8 = ?,4 nhân 8 bằng bao nhiêu?,basic
missing_left,4,8,32,? × 8 = 32,Bao nhiêu nhân 8 bằng 32?,basic
missing_right,4,8,32,4 × ? = 32,4 nhân bao nhiêu bằng 32?,basic
missing_result,4,9,36,4 × 9 = ?,4 nhân 9 bằng bao nhiêu?,basic
missing_left,4,9,36,? × 9 = 36,Bao nhiêu nhân 9 bằng 36?,basic
missing_right,4,9,36,4 × ? = 36,4 nhân bao nhiêu bằng 36?,basic
missing_result,5,1,5,5 × 1 = ?,5 nhân 1 bằng bao nhiêu?,basic
missing_left,5,1,5,? × 1 = 5,Bao nhiêu nhân 1 bằng 5?,basic
missing_right,5,1,5,5 × ? = 5,5 nhân bao nhiêu bằng 5?,basic
missing_result,5,2,10,5 × 2 = ?,5 nhân 2 bằng bao nhiêu?,basic
missing_left,5,2,10,? × 2 = 10,Bao nhiêu nhân 2 bằng 10?,basic
missing_right,5,2,10,5 × ? = 10,5 nhân bao nhiêu bằng 10?,basic
missing_result,5,3,15,5 × 3 = ?,5 nhân 3 bằng bao nhiêu?,basic
missing_left,5,3,15,? × 3 = 15,Bao nhiêu nhân 3 bằng 15?,basic
missing_right,5,3,15,5 × ? = 15,5 nhân bao nhiêu bằng 15?,basic
missing_result,5,4,20,5 × 4 = ?,5 nhân 4 bằng bao nhiêu?,basic
missing_left,5,4,20,? × 4 = 20,Bao nhiêu nhân 4 bằng 20?,basic
missing_right,5,4,20,5 × ? = 20,5 nhân bao nhiêu bằng 20?,basic
missing_result,5,5,25,5 × 5 = ?,5 nhân 5 bằng bao nhiêu?,basic
missing_left,5,5,25,? × 5 = 25,Bao nhiêu nhân 5 bằng 25?,basic
missing_right,5,5,25,5 × ? = 25,5 nhân bao nhiêu bằng 25?,basic
missing_result,5,6,30,5 × 6 = ?,5 nhân 6 bằng bao nhiêu?,basic
missing_left,5,6,30,? × 6 = 30,Bao nhiêu nhân 6 bằng 30?,basic
missing_right,5,6,30,5 × ? = 30,5 nhân bao nhiêu bằng 30?,basic
missing_result,5,7,35,5 × 7 = ?,5 nhân 7 bằng bao nhiêu?,basic
missing_left,5,7,35,? × 7 = 35,Bao nhiêu nhân 7 bằng 35?,basic
missing_right,5,7,35,5 × ? = 35,5 nhân bao nhiêu bằng 35?,basic
missing_result,5,8,40,5 × 8 = ?,5 nhân 8 bằng bao nhiêu?,basic
missing_left,5,8,40,? × 8 = 40,Bao nhiêu nhân 8 bằng 40?,basic
missing_right,5,8,40,5 × ? = 40,5 nhân bao nhiêu bằng 40?,basic
missing_result,5,9,45,5 × 9 = ?,5 nhân 9 bằng bao nhiêu?,basic
missing_left,5,9,45,? × 9 = 45,Bao nhiêu nhân 9 bằng 45?,basic
missing_right,5,9,45,5 × ? = 45,5 nhân bao nhiêu bằng 45?,basic
missing_result,6,1,6,6 × 1 = ?,6 nhân 1 bằng bao nhiêu?,medium
missing_left,6,1,6,? × 1 = 6,Bao nhiêu nhân 1 bằng 6?,medium
missing_right,6,1,6,6 × ? = 6,6 nhân bao nhiêu bằng 6?,medium
missing_result,6,2,12,6 × 2 = ?,6 nhân 2 bằng bao nhiêu?,medium
missing_left,6,2,12,? × 2 = 12,Bao nhiêu nhân 2 bằng 12?,medium
missing_right,6,2,12,6 × ? = 12,6 nhân bao nhiêu bằng 12?,medium
missing_result,6,3,18,6 × 3 = ?,6 nhân 3 bằng bao nhiêu?,medium
missing_left,6,3,18,? × 3 = 18,Bao nhiêu nhân 3 bằng 18?,medium
missing_right,6,3,18,6 × ? = 18,6 nhân bao nhiêu bằng 18?,medium
missing_result,6,4,24,6 × 4 = ?,6 nhân 4 bằng bao nhiêu?,medium
missing_left,6,4,24,? × 4 = 24,Bao nhiêu nhân 4 bằng 24?,medium
missing_right,6,4,24,6 × ? = 24,6 nhân bao nhiêu bằng 24?,medium
missing_result,6,5,30,6 × 5 = ?,6 nhân 5 bằng bao nhiêu?,medium
missing_left,6,5,30,? × 5 = 30,Bao nhiêu nhân 5 bằng 30?,medium
missing_right,6,5,30,6 × ? = 30,6 nhân bao nhiêu bằng 30?,medium
missing_result,6,6,36,6 × 6 = ?,6 nhân 6 bằng bao nhiêu?,medium
missing_left,6,6,36,? × 6 = 36,Bao nhiêu nhân 6 bằng 36?,medium
missing_right,6,6,36,6 × ? = 36,6 nhân bao nhiêu bằng 36?,medium
missing_result,6,7,42,6 × 7 = ?,6 nhân 7 bằng bao nhiêu?,medium
missing_left,6,7,42,? × 7 = 42,Bao nhiêu nhân 7 bằng 42?,medium
missing_right,6,7,42,6 × ? = 42,6 nhân bao nhiêu bằng 42?,medium
missing_result,6,8,48,6 × 8 = ?,6 nhân 8 bằng bao nhiêu?,medium
missing_left,6,8,48,? × 8 = 48,Bao nhiêu nhân 8 bằng 48?,medium
missing_right,6,8,48,6 × ? = 48,6 nhân bao nhiêu bằng 48?,medium
missing_result,6,9,54,6 × 9 = ?,6 nhân 9 bằng bao nhiêu?,medium
missing_left,6,9,54,? × 9 = 54,Bao nhiêu nhân 9 bằng 54?,medium
missing_right,6,9,54,6 × ? = 54,6 nhân bao nhiêu bằng 54?,medium
missing_result,7,1,7,7 × 1 = ?,7 nhân 1 bằng bao nhiêu?,medium
missing_left,7,1,7,? × 1 = 7,Bao nhiêu nhân 1 bằng 7?,medium
missing_right,7,1,7,7 × ? = 7,7 nhân bao nhiêu bằng 7?,medium
missing_result,7,2,14,7 × 2 = ?,7 nhân 2 bằng bao nhiêu?,medium
missing_left,7,2,14,? × 2 = 14,Bao nhiêu nhân 2 bằng 14?,medium
missing_right,7,2,14,7 × ? = 14,7 nhân bao nhiêu bằng 14?,medium
missing_result,7,3,21,7 × 3 = ?,7 nhân 3 bằng bao nhiêu?,medium
missing_left,7,3,21,? × 3 = 21,Bao nhiêu nhân 3 bằng 21?,medium
missing_right,7,3,21,7 × ? = 21,7 nhân bao nhiêu bằng 21?,medium
missing_result,7,4,28,7 × 4 = ?,7 nhân 4 bằng bao nhiêu?,medium
missing_left,7,4,28,? × 4 = 28,Bao nhiêu nhân 4 bằng 28?,medium
missing_right,7,4,28,7 × ? = 28,7 nhân bao nhiêu bằng 28?,medium
missing_result,7,5,35,7 × 5 = ?,7 nhân 5 bằng bao nhiêu?,medium
missing_left,7,5,35,? × 5 = 35,Bao nhiêu nhân 5 bằng 35?,medium
missing_right,7,5,35,7 × ? = 35,7 nhân bao nhiêu bằng 35?,medium
missing_result,7,6,42,7 × 6 = ?,7 nhân 6 bằng bao nhiêu?,medium
missing_left,7,6,42,? × 6 = 42,Bao nhiêu nhân 6 bằng 42?,medium
missing_right,7,6,42,7 × ? = 42,7 nhân bao nhiêu bằng 42?,medium
missing_result,7,7,49,7 × 7 = ?,7 nhân 7 bằng bao nhiêu?,medium
missing_left,7,7,49,? × 7 = 49,Bao nhiêu nhân 7 bằng 49?,medium
missing_right,7,7,49,7 × ? = 49,7 nhân bao nhiêu bằng 49?,medium
missing_result,7,8,56,7 × 8 = ?,7 nhân 8 bằng bao nhiêu?,medium
missing_left,7,8,56,? × 8 = 56,Bao nhiêu nhân 8 bằng 56?,medium
missing_right,7,8,56,7 × ? = 56,7 nhân bao nhiêu bằng 56?,medium
missing_result,7,9,63,7 × 9 = ?,7 nhân 9 bằng bao nhiêu?,medium
missing_left,7,9,63,? × 9 = 63,Bao nhiêu nhân 9 bằng 63?,medium
missing_right,7,9,63,7 × ? = 63,7 nhân bao nhiêu bằng 63?,medium
missing_result,8,1,8,8 × 1 = ?,8 nhân 1 bằng bao nhiêu?,medium
missing_left,8,1,8,? × 1 = 8,Bao nhiêu nhân 1 bằng 8?,medium
missing_right,8,1,8,8 × ? = 8,8 nhân bao nhiêu bằng 8?,medium
missing_result,8,2,16,8 × 2 = ?,8 nhân 2 bằng bao nhiêu?,medium
missing_left,8,2,16,? × 2 = 16,Bao nhiêu nhân 2 bằng 16?,medium
missing_right,8,2,16,8 × ? = 16,8 nhân bao nhiêu bằng 16?,medium
missing_result,8,3,24,8 × 3 = ?,8 nhân 3 bằng bao nhiêu?,medium
missing_left,8,3,24,? × 3 = 24,Bao nhiêu nhân 3 bằng 24?,medium
missing_right,8,3,24,8 × ? = 24,8 nhân bao nhiêu bằng 24?,medium
missing_result,8,4,32,8 × 4 = ?,8 nhân 4 bằng bao nhiêu?,medium
missing_left,8,4,32,? × 4 = 32,Bao nhiêu nhân 4 bằng 32?,medium
missing_right,8,4,32,8 × ? = 32,8 nhân bao nhiêu bằng 32?,medium
missing_result,8,5,40,8 × 5 = ?,8 nhân 5 bằng bao nhiêu?,medium
missing_left,8,5,40,? × 5 = 40,Bao nhiêu nhân 5 bằng 40?,medium
missing_right,8,5,40,8 × ? = 40,8 nhân bao nhiêu bằng 40?,medium
missing_result,8,6,48,8 × 6 = ?,8 nhân 6 bằng bao nhiêu?,medium
missing_left,8,6,48,? × 6 = 48,Bao nhiêu nhân 6 bằng 48?,medium
missing_right,8,6,48,8 × ? = 48,8 nhân bao nhiêu bằng 48?,medium
missing_result,8,7,56,8 × 7 = ?,8 nhân 7 bằng bao nhiêu?,medium
missing_left,8,7,56,? × 7 = 56,Bao nhiêu nhân 7 bằng 56?,medium
missing_right,8,7,56,8 × ? = 56,8 nhân bao nhiêu bằng 56?,medium
missing_result,8,8,64,8 × 8 = ?,8 nhân 8 bằng bao nhiêu?,medium
missing_left,8,8,64,? × 8 = 64,Bao nhiêu nhân 8 bằng 64?,medium
missing_right,8,8,64,8 × ? = 64,8 nhân bao nhiêu bằng 64?,medium
missing_result,8,9,72,8 × 9 = ?,8 nhân 9 bằng bao nhiêu?,medium
missing_left,8,9,72,? × 9 = 72,Bao nhiêu nhân 9 bằng 72?,medium
missing_right,8,9,72,8 × ? = 72,8 nhân bao nhiêu bằng 72?,medium
missing_result,9,1,9,9 × 1 = ?,9 nhân 1 bằng bao nhiêu?,medium
missing_left,9,1,9,? × 1 = 9,Bao nhiêu nhân 1 bằng 9?,medium
missing_right,9,1,9,9 × ? = 9,9 nhân bao nhiêu bằng 9?,medium
missing_result,9,2,18,9 × 2 = ?,9 nhân 2 bằng bao nhiêu?,medium
missing_left,9,2,18,? × 2 = 18,Bao nhiêu nhân 2 bằng 18?,medium
missing_right,9,2,18,9 × ? = 18,9 nhân bao nhiêu bằng 18?,medium
missing_result,9,3,27,9 × 3 = ?,9 nhân 3 bằng bao nhiêu?,medium
missing_left,9,3,27,? × 3 = 27,Bao nhiêu nhân 3 bằng 27?,medium
missing_right,9,3,27,9 × ? = 27,9 nhân bao nhiêu bằng 27?,medium
missing_result,9,4,36,9 × 4 = ?,9 nhân 4 bằng bao nhiêu?,medium
missing_left,9,4,36,? × 4 = 36,Bao nhiêu nhân 4 bằng 36?,medium
missing_right,9,4,36,9 × ? = 36,9 nhân bao nhiêu bằng 36?,medium
missing_result,9,5,45,9 × 5 = ?,9 nhân 5 bằng bao nhiêu?,medium
missing_left,9,5,45,? × 5 = 45,Bao nhiêu nhân 5 bằng 45?,medium
missing_right,9,5,45,9 × ? = 45,9 nhân bao nhiêu bằng 45?,medium
missing_result,9,6,54,9 × 6 = ?,9 nhân 6 bằng bao nhiêu?,medium
missing_left,9,6,54,? × 6 = 54,Bao nhiêu nhân 6 bằng 54?,medium
missing_right,9,6,54,9 × ? = 54,9 nhân bao nhiêu bằng 54?,medium
missing_result,9,7,63,9 × 7 = ?,9 nhân 7 bằng bao nhiêu?,medium
missing_left,9,7,63,? × 7 = 63,Bao nhiêu nhân 7 bằng 63?,medium
missing_right,9,7,63,9 × ? = 63,9 nhân bao nhiêu bằng 63?,medium
missing_result,9,8,72,9 × 8 = ?,9 nhân 8 bằng bao nhiêu?,medium
missing_left,9,8,72,? × 8 = 72,Bao nhiêu nhân 8 bằng 72?,medium
missing_right,9,8,72,9 × ? = 72,9 nhân bao nhiêu bằng 72?,medium
missing_result,9,9,81,9 × 9 = ?,9 nhân 9 bằng bao nhiêu?,medium
missing_left,9,9,81,? × 9 = 81,Bao nhiêu nhân 9 bằng 81?,medium
missing_right,9,9,81,9 × ? = 81,9 nhân bao nhiêu bằng 81?,medium
missing_result,10,1,10,10 × 1 = ?,10 nhân 1 bằng bao nhiêu?,medium
missing_left,10,1,10,? × 1 = 10,Bao nhiêu nhân 1 bằng 10?,medium
missing_right,10,1,10,10 × ? = 10,10 nhân bao nhiêu bằng 10?,medium
missing_result,10,2,20,10 × 2 = ?,10 nhân 2 bằng bao nhiêu?,medium
missing_left,10,2,20,? × 2 = 20,Bao nhiêu nhân 2 bằng 20?,medium
missing_right,10,2,20,10 × ? = 20,10 nhân bao nhiêu bằng 20?,medium
missing_result,10,3,30,10 × 3 = ?,10 nhân 3 bằng bao nhiêu?,medium
missing_left,10,3,30,? × 3 = 30,Bao nhiêu nhân 3 bằng 30?,medium
missing_right,10,3,30,10 × ? = 30,10 nhân bao nhiêu bằng 30?,medium
missing_result,10,4,40,10 × 4 = ?,10 nhân 4 bằng bao nhiêu?,medium
missing_left,10,4,40,? × 4 = 40,Bao nhiêu nhân 4 bằng 40?,medium
missing_right,10,4,40,10 × ? = 40,10 nhân bao nhiêu bằng 40?,medium
missing_result,10,5,50,10 × 5 = ?,10 nhân 5 bằng bao nhiêu?,medium
missing_left,10,5,50,? × 5 = 50,Bao nhiêu nhân 5 bằng 50?,medium
missing_right,10,5,50,10 × ? = 50,10 nhân bao nhiêu bằng 50?,medium
missing_result,10,6,60,10 × 6 = ?,10 nhân 6 bằng bao nhiêu?,medium
missing_left,10,6,60,? × 6 = 60,Bao nhiêu nhân 6 bằng 60?,medium
missing_right,10,6,60,10 × ? = 60,10 nhân bao nhiêu bằng 60?,medium
missing_result,10,7,70,10 × 7 = ?,10 nhân 7 bằng bao nhiêu?,medium
missing_left,10,7,70,? × 7 = 70,Bao nhiêu nhân 7 bằng 70?,medium
missing_right,10,7,70,10 × ? = 70,10 nhân bao nhiêu bằng 70?,medium
missing_result,10,8,80,10 × 8 = ?,10 nhân 8 bằng bao nhiêu?,medium
missing_left,10,8,80,? × 8 = 80,Bao nhiêu nhân 8 bằng 80?,medium
missing_right,10,8,80,10 × ? = 80,10 nhân bao nhiêu bằng 80?,medium
missing_result,10,9,90,10 × 9 = ?,10 nhân 9 bằng bao nhiêu?,medium
missing_left,10,9,90,? × 9 = 90,Bao nhiêu nhân 9 bằng 90?,medium
missing_right,10,9,90,10 × ? = 90,10 nhân bao nhiêu bằng 90?,medium
